time,open,high,low,close,symbol,volume,quote_volume,ÕÇµø·ù,Õñ·ù,ÉÏÕÇ,ÏÂµø,Dc_2,ApzUpper_2,Turtle_2,ÉÏÕÇÊýÁ¿,ÏÂµøÊýÁ¿,ÉÏÕÇ±ÈÀý,rank_Dc_2,rank_ÕÇµø·ù,rank_Õñ·ù,rank_sum,rank
2022-04-05 23:59:00,34.054,35.5,28.8,30.445,WAVES-USDT,37002701.9,1177022599.4743,-0.10597873964879312,0.1967463440418159,0,1,0.21622123811588356,0.0,-0.4166474250558217,5,142,0.034013605442176874,3.0,3.0,1.0,7.0,1.0
2022-04-10 23:59:00,24.958,25.348,23.0,23.138,WAVES-USDT,12671791.8,307344020.3449,-0.07292250981649162,0.09407805112589146,0,1,0.13787799052746624,0.0,-1.492984083321011,8,140,0.05405405405405406,3.0,1.0,6.0,10.0,1.0
2022-06-02 23:59:00,10.005,10.063,9.1,9.496,WAVES-USDT,99147097.8,942120453.623,-0.05077968812474998,0.0962518740629686,0,1,0.18684541265186416,0.0,0.0,122,38,0.7625,7.0,1.0,12.0,20.0,1.0
2022-06-22 11:59:00,6.92,7.25,6.105,6.498,WAVES-USDT,154895246.7,1034776722.1186,-0.06084694319988426,0.1654624277456647,0,1,0.25470377857253923,0.9999999975972085,0.0,18,145,0.11042944785276074,3.0,3.0,4.0,10.0,1.0
2022-04-08 23:59:00,0.6039800000000001,0.61797,0.4955,0.51475,WOO-USDT,130922787.0,73482615.12769,-0.14831482982842192,0.20277161495413756,0,1,0.269086336087192,0.999999838705083,-5.14393067585286,4,144,0.02702702702702703,2.0,1.0,2.0,5.0,1.0
2022-04-12 23:59:00,0.49513,0.50083,0.45025,0.4634,WOO-USDT,45292190.0,21594354.893600002,-0.06408417991234627,0.10215498959869128,0,1,0.11697545062941729,0.0,0.0,33,114,0.22448979591836735,16.0,1.0,6.0,23.0,1.0
2022-05-02 23:59:00,0.34986,0.3715699999999999,0.31475,0.33282,WOO-USDT,122201439.0,41366213.5865,-0.04870519636425996,0.16240782027096531,0,1,0.1655787387807435,0.999999947684777,-1.4331358846628375,131,19,0.8733333333333333,5.0,1.0,2.0,8.0,1.0
2021-03-06 23:59:00,0.769,0.7748,0.702,0.7324,XEM-USDT,32038721.0,23610185.3885,-0.04858404780462455,0.09466840052015615,0,1,0.13212331509408778,0.0,0.0,69,23,0.75,13.0,1.0,16.0,30.0,1.0
2021-03-10 11:59:00,0.7008,0.7019,0.5099,0.558,XEM-USDT,228929132.0,133790183.6249,-0.20353982300884943,0.27397260273972596,0,1,0.33692106979778214,0.9999999909071239,-8.437864829665765,15,78,0.16129032258064516,3.0,1.0,2.0,6.0,1.0
2021-03-11 11:59:00,0.5338,0.543,0.4699,0.5042,XEM-USDT,196902854.0,99606197.8833,-0.05598202583785816,0.13694267515923575,0,1,0.1921708185053381,0.0,-0.17936411641487032,35,58,0.3763440860215054,9.0,1.0,10.0,20.0,1.0
